1,"['2340', 'Division I', 'Atlantic Coast', 'Carolina DI']"
2,"['2291', 'Division I', 'Northwest', 'Cascadia DI']"
3,"['2194', 'Division I', 'Southwest', 'SoCal DI']"
4,"['2190', 'Division I', 'Northwest', 'Big Sky DI']"
5,"['2169', 'Division I', 'South Central', 'Rocky Mountain DI']"
6,"['2107', 'Division I', 'Northwest', 'Cascadia DI']"
7,"['2079', 'Division I', 'Ohio Valley', 'Ohio DI']"
8,"['2070', 'Division I', 'New England', 'Greater New England DI']"
9,"['2052', 'Division I', 'Ohio Valley', 'West Penn DI']"
10,"['2042', 'Division I', 'North Central', 'Northwoods DI']"
11,"['2003', 'Division I', 'North Central', 'Northwoods DI']"
12,"['1949', 'Division I', 'Northwest', 'Cascadia DI']"
13,"['1937', 'Division I', 'New England', 'Greater New England DI']"
14,"['1921', 'Division I', 'South Central', 'Rocky Mountain DI']"
15,"['1900', 'Division I', 'Southwest', 'NorCal DI']"
16,"['1883', 'Division I', 'Southwest', 'SoCal DI']"
17,"['1855', 'Division I', 'Great Lakes', 'Michigan DI']"
18,"['1855', 'Division I', 'New England', 'Metro Boston DI']"
19,"['1839', 'Division I', 'Northwest', 'Cascadia DI']"
20,"['1835', 'Division I', 'Atlantic Coast', 'Carolina DI']"
21,"['1829', 'Division I', 'Atlantic Coast', 'Carolina DI']"
22,"['1825', 'Division I', 'Southeast', 'Southern Appalachian DI']"
23,"['1798', 'Division I', 'Atlantic Coast', 'Virginia DI']"
24,"['1792', 'Division I', 'New England', 'Greater New England DI']"
25,"['1784', 'Division I', 'Southeast', 'Southern Appalachian DI']"
26,"['1754', 'Division I', 'Atlantic Coast', 'Carolina DI']"
27,"['1731', 'Division I', 'Southwest', 'SoCal DI']"
28,"['1731', 'Division I', 'Northwest', 'Northwest DI']"
29,"['1713', 'Division I', 'North Central', 'Lake Superior DI']"
30,"['1706', 'Division I', 'South Central', 'North Texas DI']"
31,"['1706', 'Division I', 'South Central', 'South Texas DI']"
32,"['1695', 'Division I', 'New England', 'North New England DIII']"
33,"['1678', 'Division I', 'Great Lakes', 'Illinois DI']"
34,"['1666', 'Division I', 'Atlantic Coast', 'Virginia DI']"
35,"['1651', 'Division I', 'South Central', 'Ozarks DI']"
36,"['1644', 'Division I', 'Southwest', 'NorCal DI']"
37,"['1640', 'Division I', 'New England', 'Metro Boston DI']"
38,"['1635', 'Division I', 'Ohio Valley', 'Ohio DI']"
39,"['1631', 'Division I', 'Southwest', 'SoCal DI']"
40,"['1628', 'Division I', 'Southwest', 'NorCal DI']"
41,"['1618', 'Division I', 'Southwest', 'NorCal DI']"
42,"['1615', 'Division I', 'Northwest', 'Big Sky DI']"
43,"['1608', 'Division I', 'Southeast', 'Gulf Coast DI']"
44,"['1604', 'Division I', 'Northwest', 'Big Sky DI']"
45,"['1583', 'Division I', 'Great Lakes', 'East Plains DI']"
46,"['1569', 'Division I', 'Southwest', 'Desert DI']"
47,"['1536', 'Division I', 'Southeast', 'Gulf Coast DI']"
48,"['1513', 'Division I', 'Ohio Valley', 'East Penn DI']"
49,"['1510', 'Division I', 'Southeast', 'Gulf Coast DI']"
50,"['1507', 'Division I', 'Southeast', 'Southern Appalachian DI']"
51,"['1505', 'Division I', 'Great Lakes', 'East Plains DI']"
52,"['1503', 'Division I', 'Southeast', 'Gulf Coast DI']"
53,"['1493', 'Division I', 'Southwest', 'NorCal DI']"
54,"['1493', 'Division I', 'Ohio Valley', 'Ohio DI']"
55,"['1475', 'Division I', 'Atlantic Coast', 'Virginia DI']"
56,"['1464', 'Division I', 'Great Lakes', 'Illinois DI']"
57,"['1462', 'Division I', 'Atlantic Coast', 'Virginia DI']"
58,"['1452', 'Division I', 'Northwest', 'Northwest DIII']"
59,"['1448', 'Division III', 'Southeast', 'Eastern Southeast DIII']"
60,"['1439', 'Division I', 'South Central', 'Ozarks DI']"
61,"['1430', 'Division I', 'Southeast', 'Gulf Coast DI']"
62,"['1426', 'Division I', 'Ohio Valley', 'Ohio DI']"
63,"['1424', 'Division I', 'Northwest', 'Cascadia DI']"
64,"['1421', 'Division I', 'Southeast', 'Florida DI']"
65,"['1407', 'Division I', 'Atlantic Coast', 'Colonial DI']"
66,"['1405', 'Division III', 'Southwest', 'Southwest DIII']"
67,"['1401', 'Division I', 'North Central', 'Lake Superior DI']"
68,"['1398', 'Division I', 'Southeast', 'Southern Appalachian DI']"
69,"['1391', 'Division I', 'South Central', 'South Texas DI']"
70,"['1383', 'Division I', 'Ohio Valley', 'East Penn DI']"
71,"['1380', 'Division I', 'Southeast', 'Gulf Coast DI']"
72,"['1379', 'Division I', 'Northwest', 'Big Sky DI']"
73,"['1379', 'Division I', 'Great Lakes', 'East Plains DI']"
74,"['1376', 'Division I', 'Southwest', 'NorCal DI']"
75,"['1375', 'Division I', 'Ohio Valley', 'West Penn DI']"
76,"['1365', 'Division III', 'Northwest', 'Northwest DIII']"
77,"['1339', 'Division I', 'North Central', 'West Plains DI']"
78,"['1338', 'Division I', 'New England', 'Metro Boston DI']"
79,"['1332', 'Division I', 'Atlantic Coast', 'Virginia DI']"
80,"['1328', 'Division I', 'New England', 'Metro Boston DI']"
81,"['1326', 'Division I', 'Atlantic Coast', 'Carolina DI']"
82,"['1323', 'Division I', 'Metro East', 'Western NY DI']"
83,"['1318', 'Division I', 'Ohio Valley', 'West Penn DI']"
84,"['1318', 'Division III', 'South Central', 'Ozarks DIII']"
85,"['1315', 'Developmental', 'Southwest', 'Southwest Dev']"
86,"['1301', 'Division III', 'Southwest', 'Southwest DIII']"
87,"['1301', 'Division I', 'Southwest', 'NorCal DI']"
88,"['1290', 'Division III', 'South Central', 'Texas DIII']"
89,"['1287', 'Division III', 'North Central', 'Northwoods DIII']"
90,"['1285', 'Division I', 'Southwest', 'SoCal DI']"
91,"['1281', 'Division I', 'Great Lakes', 'East Plains DI']"
92,"['1279', 'Division I', 'South Central', 'Rocky Mountain DI']"
93,"['1271', 'Division I', 'Atlantic Coast', 'Carolina DI']"
94,"['1269', 'Division I', 'South Central', 'South Texas DI']"
95,"['1262', 'Division I', 'Metro East', 'Hudson Valley DI']"
96,"['1256', 'Division I', 'South Central', 'North Texas DI']"
97,"['1250', 'Division III', 'South Central', 'Ozarks DIII']"
98,"['1249', 'Division III', 'Atlantic Coast', 'Northern Atlantic Coast DIII']"
99,"['1234', 'Division I', 'Ohio Valley', 'Ohio DI']"
100,"['1221', 'Division III', 'Southeast', 'Eastern Southeast DIII']"
101,"['1220', 'Division I', 'Southeast', 'Florida DI']"
102,"['1219', 'Division I', 'Northwest', 'Big Sky DI']"
103,"['1218', 'Division I', 'Southeast', 'Gulf Coast DI']"
104,"['1218', 'Division I', 'Southwest', 'Desert DI']"
105,"['1217', 'Division I', 'South Central', 'Ozarks DI']"
106,"['1215', 'Division I', 'Metro East', 'Metro NY DI']"
107,"['1211', 'Division III', 'Metro East', 'Western NY DIII']"
109,"['1197', 'Division I', 'Ohio Valley', 'Ohio DI']"
110,"['1196', 'Division I', 'Great Lakes', 'Illinois DI']"
111,"['1196', 'Division I', 'Northwest', 'Big Sky DI']"
112,"['1192', 'Division I', 'Ohio Valley', 'East Penn DI']"
113,"['1181', 'Division I', 'Ohio Valley', 'East Penn DI']"
114,"['1181', 'Division I', 'Atlantic Coast', 'Colonial DI']"
115,"['1179', 'Division I', 'North Central', 'Northwoods DI']"
116,"['1174', 'Division III', 'Metro East', 'Hudson Valley DIII']"
117,"['1168', 'Division III', 'Ohio Valley', 'Ohio DIII']"
118,"['1166', '', '', '']"
119,"['1158', 'Division I', 'Atlantic Coast', 'Carolina DI']"
120,"['1155', 'Division I', 'South Central', 'North Texas DI']"
121,"['1150', 'Division I', 'Southeast', 'Southern Appalachian DI']"
122,"['1150', 'Division III', 'Atlantic Coast', 'Northern Atlantic Coast DIII']"
123,"['1149', 'Division I', 'Ohio Valley', 'Ohio DI']"
124,"['1146', 'Division III', 'Northwest', 'Northwest DIII']"
125,"['1145', 'Division I', 'Southwest', 'Desert DI']"
126,"['1142', 'Division I', 'Atlantic Coast', 'Virginia DI']"
127,"['1139', 'Division I', 'Southeast', 'Gulf Coast DI']"
128,"['1138', 'Division I', 'Southwest', 'NorCal DI']"
129,"['1135', 'Division III', 'New England', 'Metro Boston DIII']"
130,"['1134', 'Division I', 'Metro East', 'Western NY DI']"
131,"['1131', 'Division I', 'Atlantic Coast', 'Carolina DI']"
132,"['1104', 'Division I', 'North Central', 'Lake Superior DI']"
133,"['1103', 'Division I', 'Atlantic Coast', 'Colonial DI']"
134,"['1088', 'Division III', 'Southeast', 'Eastern Southeast DIII']"
135,"['1084', 'Division I', 'South Central', 'Ozarks DI']"
136,"['1083', 'Developmental', 'Southeast', 'Southeast Dev']"
137,"['1081', 'Division III', 'Ohio Valley', 'West Penn DIII']"
138,"['1078', 'Division I', 'South Central', 'Ozarks DI']"
139,"['1076', 'Division I', 'Atlantic Coast', 'Colonial DI']"
140,"['1066', 'Division I', 'South Central', 'North Texas DI']"
141,"['1054', 'Division I', 'Great Lakes', 'East Plains DI']"
142,"['1051', 'Division I', 'Northwest', 'Cascadia DI']"
143,"['1047', 'Division I', 'New England', 'Metro Boston DI']"
144,"['1045', 'Division III', 'Ohio Valley', 'Ohio DIII']"
145,"['1030', 'Division I', 'Southeast', 'Gulf Coast DI']"
146,"['1026', 'Division III', 'Ohio Valley', 'Ohio DIII']"
147,"['1025', 'Developmental', 'Northwest', 'Big Sky DI']"
148,"['1024', 'Division I', 'North Central', 'West Plains DI']"
149,"['1024', 'Division I', 'Southwest', 'NorCal DI']"
150,"['1021', 'Division I', 'Great Lakes', 'Michigan DI']"
151,"['1013', 'Division III', 'Metro East', 'Western NY DIII']"
152,"['1013', 'Division III', 'South Central', 'Rocky Mountain DIII']"
153,"['1011', 'Division III', 'Atlantic Coast', 'Carolina DIII']"
154,"['1011', 'Division III', 'Atlantic Coast', 'Carolina DIII']"
155,"['1009', 'Division I', 'Southeast', 'Florida DI']"
156,"['1009', 'Division III', 'Northwest', 'Northwest DIII']"
157,"['1008', 'Division I', 'Southwest', 'SoCal DI']"
158,"['1005', 'Division I', 'Southwest', 'SoCal DI']"
159,"['1001', 'Developmental', 'Southwest', 'Southwest Dev']"
160,"['1000', 'Division I', 'Atlantic Coast', 'Colonial DI']"
161,"['997', 'Division I', 'North Central', 'West Plains DI']"
162,"['996', 'Division III', 'South Central', 'Ozarks DIII']"
163,"['995', 'Division I', 'Southwest', 'Desert DI']"
164,"['992', 'Division I', 'Southeast', 'Southern Appalachian DI']"
165,"['990', 'Division III', 'Metro East', 'Hudson Valley DIII']"
166,"['989', 'Division I', 'Metro East', 'Western NY DI']"
167,"['983', 'Division III', 'Northwest', 'Northwest DIII']"
168,"['975', 'Division III', 'Ohio Valley', 'West Penn DIII']"
169,"['971', 'Division I', 'Great Lakes', 'Illinois DI']"
170,"['971', 'Division III', 'North Central', 'West Plains DIII']"
171,"['970', 'Division I', 'Metro East', 'Western NY DI']"
172,"['962', 'Division III', 'South Central', 'Rocky Mountain DIII']"
173,"['951', 'Developmental', 'Great Lakes', 'Great Lakes Dev']"
174,"['949', 'Division I', 'Southeast', 'Florida DI']"
175,"['949', 'Division III', 'Northwest', 'Northwest DIII']"
176,"['948', 'Division I', 'Southwest', 'Desert DI']"
177,"['946', 'Division III', 'Ohio Valley', 'Ohio DIII']"
178,"['942', 'Developmental', 'Atlantic Coast', 'Southern Atlantic Coast Dev']"
179,"['940', 'Division I', 'Metro East', 'Hudson Valley DI']"
180,"['937', 'Division III', 'Atlantic Coast', 'Northern Atlantic Coast DIII']"
181,"['935', 'Division III', 'New England', 'South New England DIII']"
182,"['929', 'Division I', 'Metro East', 'Hudson Valley DI']"
183,"['927', 'Division III', 'Ohio Valley', 'Ohio DIII']"
184,"['924', 'Division I', 'Southeast', 'Gulf Coast DI']"
